Date,Open,High,Low,Close,Adj Close,Volume
2021-05-18,2.370000,2.450000,2.370000,2.410000,2.410000,40711400
2021-05-19,2.410000,2.430000,2.400000,2.410000,2.410000,25015600
2021-05-20,2.410000,2.450000,2.410000,2.420000,2.420000,26778000
2021-05-21,2.450000,2.450000,2.410000,2.430000,2.430000,20905600
2021-05-24,2.450000,2.470000,2.430000,2.440000,2.440000,15669000
2021-05-25,2.450000,2.470000,2.440000,2.460000,2.460000,26346100
2021-05-27,2.410000,2.470000,2.380000,2.450000,2.450000,92400900
2021-05-28,2.480000,2.480000,2.400000,2.420000,2.420000,44418673
2021-05-31,2.420000,2.430000,2.400000,2.410000,2.410000,25084200
2021-06-01,2.420000,2.440000,2.410000,2.430000,2.430000,34651600
2021-06-02,2.430000,2.430000,2.400000,2.400000,2.400000,31958900
2021-06-03,2.400000,2.410000,2.390000,2.400000,2.400000,24079200
2021-06-04,2.390000,2.400000,2.380000,2.380000,2.380000,22467000
2021-06-07,2.390000,2.390000,2.360000,2.370000,2.370000,42040400
2021-06-08,2.370000,2.380000,2.350000,2.370000,2.370000,40378100
2021-06-09,2.350000,2.370000,2.330000,2.340000,2.340000,56075700
2021-06-10,2.340000,2.360000,2.330000,2.330000,2.330000,24620600
2021-06-11,2.330000,2.340000,2.320000,2.320000,2.320000,45290000
2021-06-14,2.320000,2.340000,2.310000,2.330000,2.330000,25792200
2021-06-15,2.330000,2.380000,2.320000,2.360000,2.360000,38515300
2021-06-16,2.360000,2.370000,2.310000,2.310000,2.310000,48024200
2021-06-17,2.300000,2.320000,2.300000,2.310000,2.310000,25261300
2021-06-18,2.300000,2.330000,2.300000,2.310000,2.310000,24822200
2021-06-21,2.300000,2.310000,2.280000,2.290000,2.290000,39979700
2021-06-22,2.300000,2.320000,2.290000,2.300000,2.300000,15631000
2021-06-23,2.310000,2.320000,2.300000,2.300000,2.300000,13888700
2021-06-24,2.300000,2.340000,2.290000,2.310000,2.310000,18669600
2021-06-25,2.320000,2.320000,2.300000,2.300000,2.300000,17989100
2021-06-28,2.310000,2.330000,2.300000,2.310000,2.310000,16588300
2021-06-29,2.300000,2.310000,2.280000,2.280000,2.280000,38877200
2021-06-30,2.290000,2.310000,2.280000,2.290000,2.290000,26128800
2021-07-01,2.290000,2.310000,2.280000,2.280000,2.280000,21485900
2021-07-02,2.280000,2.280000,2.260000,2.270000,2.270000,18505100
2021-07-05,2.270000,2.290000,2.260000,2.270000,2.270000,20758700
2021-07-06,2.270000,2.310000,2.270000,2.300000,2.300000,37068300
2021-07-07,2.310000,2.310000,2.260000,2.260000,2.260000,39300000
2021-07-08,2.260000,2.270000,2.240000,2.250000,2.250000,26996200
2021-07-09,2.250000,2.260000,2.240000,2.260000,2.260000,19098200
2021-07-12,2.280000,2.290000,2.270000,2.280000,2.280000,11503200
2021-07-13,2.290000,2.310000,2.270000,2.290000,2.290000,20825600
2021-07-14,2.290000,2.310000,2.280000,2.290000,2.290000,20706900
2021-07-15,2.290000,2.290000,2.250000,2.270000,2.270000,22456200
2021-07-16,2.280000,2.290000,2.260000,2.270000,2.270000,11173000
2021-07-19,2.250000,2.270000,2.240000,2.240000,2.240000,24089000
2021-07-21,2.260000,2.270000,2.220000,2.230000,2.230000,37086900
2021-07-22,2.240000,2.270000,2.230000,2.260000,2.260000,21616000
2021-07-23,2.250000,2.260000,2.240000,2.250000,2.250000,15783800
